DELETE	api/v1/admin-users/delete-forever/{id}		Marvel\Http\Controllers\UserController@adminDeleteUsersForever	api,auth:sanctum,throttle:admin,permission:delete-user
PUT	api/v1/brands/reorder		Marvel\Http\Controllers\BrandController@reorder	api,auth:sanctum,throttle:admin,permission:update-brand
GET	api/v1/brands	brands.index	Marvel\Http\Controllers\BrandController@index	api,auth:sanctum,throttle:admin,permission:view-brands
POST	api/v1/brands	brands.store	Marvel\Http\Controllers\BrandController@store	api,auth:sanctum,throttle:admin,permission:create-brand
GET	api/v1/brands/{brand}	brands.show	Marvel\Http\Controllers\BrandController@show	api,auth:sanctum,throttle:admin,permission:view-brands
PUT|PATCH	api/v1/brands/{brand}	brands.update	Marvel\Http\Controllers\BrandController@update	api,auth:sanctum,throttle:admin,permission:update-brand
DELETE	api/v1/brands/{brand}	brands.destroy	Marvel\Http\Controllers\BrandController@destroy	api,auth:sanctum,throttle:admin,permission:delete-brand
PATCH	api/v1/sliders/change-status		Marvel\Http\Controllers\SliderController@changeStatus	api,auth:sanctum,throttle:admin,permission:update-slider
PUT	api/v1/sliders/reorder		Marvel\Http\Controllers\SliderController@reorder	api,auth:sanctum,throttle:admin,permission:update-slider
GET	api/v1/sliders	sliders.index	Marvel\Http\Controllers\SliderController@index	api,auth:sanctum,throttle:admin,permission:view-slider
POST	api/v1/sliders	sliders.store	Marvel\Http\Controllers\SliderController@store	api,auth:sanctum,throttle:admin,permission:create-slider
GET	api/v1/sliders/{slider}	sliders.show	Marvel\Http\Controllers\SliderController@show	api,auth:sanctum,throttle:admin,permission:view-slider
PUT|PATCH	api/v1/sliders/{slider}	sliders.update	Marvel\Http\Controllers\SliderController@update	api,auth:sanctum,throttle:admin,permission:update-slider
DELETE	api/v1/sliders/{slider}	sliders.destroy	Marvel\Http\Controllers\SliderController@destroy	api,auth:sanctum,throttle:admin,permission:delete-slider
PUT	api/v1/categories/feature		Marvel\Http\Controllers\CategoryController@addOrRemoveCategoryFromFeature	api,auth:sanctum,throttle:admin,permission:update-category
POST	api/v1/categories/import	admin.categories.import	Marvel\Http\Controllers\CategoryImportController@import	api,auth:sanctum,throttle:admin,permission:import-category|super_admin
GET	api/v1/categories/import/sample	admin.categories.import.sample	Marvel\Http\Controllers\CategoryImportController@downloadSample	api,auth:sanctum,throttle:admin,permission:import-category|super_admin
GET	api/v1/categories/import/{id}	admin.categories.import.status	Marvel\Http\Controllers\CategoryImportController@status	api,auth:sanctum,throttle:admin,permission:import-category|super_admin
POST	api/v1/categories/import/{id}/cancel	admin.categories.import.cancel	Marvel\Http\Controllers\CategoryImportController@cancel	api,auth:sanctum,throttle:admin,permission:import-category|super_admin
GET	api/v1/categories/import/{id}/download-errors	admin.categories.import.download-errors	Marvel\Http\Controllers\CategoryImportController@downloadErrors	api,auth:sanctum,throttle:admin,permission:import-category|super_admin
GET	api/v1/categories/export	admin.categories.export	Marvel\Http\Controllers\CategoryExportController@export	api,auth:sanctum,throttle:admin,permission:export-category|super_admin
GET	api/v1/categories/export/{id}	admin.categories.export.status	Marvel\Http\Controllers\CategoryExportController@status	api,auth:sanctum,throttle:admin,permission:export-category|super_admin
GET	api/v1/categories/export/{id}/download	admin.categories.export.download	Marvel\Http\Controllers\CategoryExportController@download	api,auth:sanctum,throttle:admin,permission:export-category|super_admin
POST	api/v1/categories/bulk-delete	admin.categories.bulk-delete	Marvel\Http\Controllers\CategoryController@bulkDelete	api,auth:sanctum,throttle:admin,permission:delete-category
GET	api/v1/categories/bulk-delete/{id}	admin.categories.bulk-delete.status	Marvel\Http\Controllers\CategoryController@bulkDeleteStatus	api,auth:sanctum,throttle:admin,permission:delete-category
POST	api/v1/categories/bulk-delete/{id}/cancel	admin.categories.bulk-delete.cancel	Marvel\Http\Controllers\CategoryController@cancelBulkDelete	api,auth:sanctum,throttle:admin,permission:delete-category
GET	api/v1/categories	categories.index	Marvel\Http\Controllers\CategoryController@index	api,auth:sanctum,throttle:admin,permission:view-categories
POST	api/v1/categories	categories.store	Marvel\Http\Controllers\CategoryController@store	api,auth:sanctum,throttle:admin,permission:create-category
GET	api/v1/categories/{category}	categories.show	Marvel\Http\Controllers\CategoryController@show	api,auth:sanctum,throttle:admin,permission:view-categories
PUT|PATCH	api/v1/categories/{category}	categories.update	Marvel\Http\Controllers\CategoryController@update	api,auth:sanctum,throttle:admin,permission:update-category
DELETE	api/v1/categories/{category}	categories.destroy	Marvel\Http\Controllers\CategoryController@destroy	api,auth:sanctum,throttle:admin,permission:delete-category
GET	api/v1/pickup-locations	pickup-locations.index	Marvel\Http\Controllers\PickupLocationController@index	api,auth:sanctum,throttle:admin,permission:view-pickup-locations
POST	api/v1/pickup-locations	pickup-locations.store	Marvel\Http\Controllers\PickupLocationController@store	api,auth:sanctum,throttle:admin,permission:create-pickup-location
GET	api/v1/pickup-locations/{pickup_location}	pickup-locations.show	Marvel\Http\Controllers\PickupLocationController@show	api,auth:sanctum,throttle:admin,permission:view-pickup-locations
PUT|PATCH	api/v1/pickup-locations/{pickup_location}	pickup-locations.update	Marvel\Http\Controllers\PickupLocationController@update	api,auth:sanctum,throttle:admin,permission:update-pickup-location
DELETE	api/v1/pickup-locations/{pickup_location}	pickup-locations.destroy	Marvel\Http\Controllers\PickupLocationController@destroy	api,auth:sanctum,throttle:admin,permission:delete-pickup-location
GET	api/v1/attributes	attributes.index	Marvel\Http\Controllers\AttributeController@index	api,auth:sanctum,throttle:admin,permission:view-attributes
POST	api/v1/attributes	attributes.store	Marvel\Http\Controllers\AttributeController@store	api,auth:sanctum,throttle:admin,permission:create-attribute
GET	api/v1/attributes/{attribute}	attributes.show	Marvel\Http\Controllers\AttributeController@show	api,auth:sanctum,throttle:admin,permission:view-attributes
PUT|PATCH	api/v1/attributes/{attribute}	attributes.update	Marvel\Http\Controllers\AttributeController@update	api,auth:sanctum,throttle:admin,permission:update-attribute
DELETE	api/v1/attributes/{attribute}	attributes.destroy	Marvel\Http\Controllers\AttributeController@destroy	api,auth:sanctum,throttle:admin,permission:delete-attribute
GET	api/v1/orders	orders.index	Marvel\Http\Controllers\Order\OrderController@index	api,auth:sanctum,throttle:admin,permission:view-orders
GET	api/v1/orders/{id}	orders.show	Marvel\Http\Controllers\Order\OrderController@show	api,auth:sanctum,throttle:admin,permission:view-order
PATCH	api/v1/orders/{id}/status	orders.update-status	Marvel\Http\Controllers\Order\OrderController@updateStatus	api,auth:sanctum,throttle:admin,permission:update-order-status
PUT	api/v1/banner/change-status		Marvel\Http\Controllers\BannerController@changeStatus	api,auth:sanctum,throttle:admin,permission:update-banners
POST	api/v1/banner/reorder		Marvel\Http\Controllers\BannerController@reorder	api,auth:sanctum,throttle:admin,permission:update-banners
GET	api/v1/banners	banners.index	Marvel\Http\Controllers\BannerController@index	api,auth:sanctum,throttle:admin,permission:view-banners
POST	api/v1/banners	banners.store	Marvel\Http\Controllers\BannerController@store	api,auth:sanctum,throttle:admin,permission:create-banners
GET	api/v1/banners/{banner}	banners.show	Marvel\Http\Controllers\BannerController@show	api,auth:sanctum,throttle:admin,permission:view-banners
PUT|PATCH	api/v1/banners/{banner}	banners.update	Marvel\Http\Controllers\BannerController@update	api,auth:sanctum,throttle:admin,permission:update-banners
DELETE	api/v1/banners/{banner}	banners.destroy	Marvel\Http\Controllers\BannerController@destroy	api,auth:sanctum,throttle:admin,permission:delete-banners
GET	api/v1/countries	countries.index	Marvel\Http\Controllers\CountryController@index	api,auth:sanctum,throttle:admin,permission:view-country
POST	api/v1/countries	countries.store	Marvel\Http\Controllers\CountryController@store	api,auth:sanctum,throttle:admin,permission:create-country
GET	api/v1/countries/{country}	countries.show	Marvel\Http\Controllers\CountryController@show	api,auth:sanctum,throttle:admin,permission:view-country
PUT|PATCH	api/v1/countries/{country}	countries.update	Marvel\Http\Controllers\CountryController@update	api,auth:sanctum,throttle:admin,permission:update-country
DELETE	api/v1/countries/{country}	countries.destroy	Marvel\Http\Controllers\CountryController@destroy	api,auth:sanctum,throttle:admin,permission:delete-country
GET	api/v1/countries/{id}/governorates		Marvel\Http\Controllers\CountryController@governorates	api,auth:sanctum,throttle:admin
POST	api/v1/countries/change-status		Marvel\Http\Controllers\CountryController@bulkStatus	api,auth:sanctum,throttle:admin
PUT	api/v1/governorates/change-status		Marvel\Http\Controllers\GovernorateController@bulkStatus	api,auth:sanctum,throttle:admin
PUT	api/v1/governorates/{id}/fast-shipping		Marvel\Http\Controllers\GovernorateController@toggleFastShipping	api,auth:sanctum,throttle:admin
GET	api/v1/governorates/{id}/cities		Marvel\Http\Controllers\GovernorateController@cities	api,auth:sanctum,throttle:admin
GET	api/v1/governorates	governorates.index	Marvel\Http\Controllers\GovernorateController@index	api,auth:sanctum,throttle:admin,permission:view-governorate
POST	api/v1/governorates	governorates.store	Marvel\Http\Controllers\GovernorateController@store	api,auth:sanctum,throttle:admin,permission:create-governorate
GET	api/v1/governorates/{governorate}	governorates.show	Marvel\Http\Controllers\GovernorateController@show	api,auth:sanctum,throttle:admin,permission:view-governorate
